,lng,lat,type,line,name,utm
48,2.227786668411125,41.43552559216171,METRO,L2,SANT ROC,"(770891.4474942829, 246462.52018871435, 37, 'N')"
49,2.234042998554947,41.440648530553815,METRO,L2,GORG,"(771460.4438897038, 247155.61703162972, 37, 'N')"
50,2.2382125520174,41.444600611477256,METRO,L2,PEP VENTURA,"(771899.5122290403, 247617.6377587886, 37, 'N')"
51,2.244211818226918,41.449141712039626,METRO,L2,BADALONA POMPEU FABRA,"(772403.79240194, 248282.19904622974, 37, 'N')"
52,2.110403173713985,41.384147922010435,METRO,L3,ZONA UNIVERSITÀRIA,"(765194.0796698509, 233467.29217320075, 37, 'N')"
53,2.117875123660265,41.385915071565016,METRO,L3,PALAU REIAL,"(765389.4871733997, 234294.19955511313, 37, 'N')"
54,2.1263065758989725,41.38821372515915,METRO,L3,MARIA CRISTINA,"(765643.8785834633, 235227.3487082339, 37, 'N')"
55,2.131391760117895,41.38455431707076,METRO,L3,LES CORTS,"(765235.7317407313, 235789.28145738697, 37, 'N')"
56,2.136551764900411,41.38268201586865,METRO,L3,PLAÇA DEL CENTRE,"(765026.4691966359, 236359.79783909794, 37, 'N')"
57,2.140753188840037,41.417972883448336,METRO,L3,PENITENTS,"(768953.4748756324, 236830.74156978863, 37, 'N')"
58,2.141514699632166,41.38153149653287,METRO,L3,SANTS ESTACIÓ,"(764897.5702341162, 236908.63641300082, 37, 'N')"
59,2.1425500721311552,41.425271366417476,METRO,L3,VALL D'HEBRON,"(769765.4639059539, 237030.81595568097, 37, 'N')"
60,2.145480927013976,41.378574276732564,METRO,L3,TARRAGONA,"(764567.7672745488, 237346.89821046236, 37, 'N')"
61,2.145087116777165,41.41141065269198,METRO,L3,VALLCARCA,"(768222.3630517066, 237309.05331375808, 37, 'N')"
62,2.1451932507807494,41.43085599996142,METRO,L3,MONTBAU,"(770386.5581007141, 237324.2202429396, 37, 'N')"
63,2.1474981252125285,41.435244499959246,METRO,L3,MUNDET,"(770874.5842225221, 237579.9897568116, 37, 'N')"
64,2.150303460441094,41.37516939610728,METRO,L3,ESPANYA,"(764187.9964564354, 237879.81184775228, 37, 'N')"
65,2.150393892160788,41.406608814442,METRO,L3,LESSEPS,"(767687.0117380877, 237895.29799255426, 37, 'N')"
66,2.1528175240534986,41.40230653769164,METRO,L3,FONTANA,"(767207.7653971685, 238162.66805286318, 37, 'N')"
67,2.1563943196784856,41.437580003146955,METRO,L3,VALLDAURA,"(771132.948607066, 238564.60894791852, 37, 'N')"
68,2.1598821534098223,41.37515626684299,METRO,L3,POBLE SEC,"(764184.8824155596, 238939.47189067278, 37, 'N')"
69,2.1604759471277823,41.39576431636249,METRO,L3,DIAGONAL,"(766478.3157339864, 239008.76345638325, 37, 'N')"
70,2.164572671555617,41.39290495682759,METRO,L3,PASSEIG DE GRÀCIA,"(766159.3717040461, 239461.47616998214, 37, 'N')"
71,2.1660807544409315,41.442033444925904,METRO,L3,CANYELLES,"(771626.8841178624, 239637.03797766916, 37, 'N')"
72,2.1703461620148445,41.386295236027316,METRO,L3,CATALUNYA,"(765422.747738123, 240099.02605314038, 37, 'N')"
73,2.1707203725813997,41.37508872346003,METRO,L3,PARAL·LEL,"(764175.486367261, 240138.46016980588, 37, 'N')"
74,2.1735325483511834,41.38067497204378,METRO,L3,LICEU,"(764796.7000617138, 240450.54199364327, 37, 'N')"
75,2.176287229606268,41.376826871126674,METRO,L3,DRASSANES,"(764367.9582893067, 240754.60989555335, 37, 'N')"
76,2.1762547799549883,41.44740337418053,METRO,L3,ROQUETES,"(772222.722136521, 240763.58480403322, 37, 'N')"
77,2.1841635140779285,41.44952366624727,METRO,L3,TRINITAT NOVA,"(772457.2808505327, 241638.93598756127, 37, 'N')"
78,2.163317374199931,41.40653235534556,METRO,L4,JOANIC,"(767676.2407771433, 239325.00380170462, 37, 'N')"
79,2.166164602312385,41.41178453962263,METRO,L4,ALFONS X,"(768260.2811691911, 239640.921017188, 37, 'N')"
80,2.1676841883839923,41.38962447222799,METRO,L4,PASSEIG DE GRÀCIA,"(765793.7325218711, 239805.12183643135, 37, 'N')"
81,2.168594148441782,41.400179270035494,METRO,L4,VERDAGUER,"(766968.2527736658, 239907.64815210173, 37, 'N')"
82,2.171408390437761,41.395269362308014,METRO,L4,GIRONA,"(766421.3182685, 240218.1181689461, 37, 'N')"
83,2.17310643256742,41.38849000051695,METRO,L4,URQUINAONA,"(765666.526211632, 240404.7752673324, 37, 'N')"
84,2.1734865679333395,41.43722392256478,METRO,L4,LLUCMAJOR,"(771090.277162526, 240455.49667725904, 37, 'N')"
85,2.1745378621934788,41.41600549114402,METRO,L4,HOSPITAL DE SANT PAU GUINARDÓ,"(768728.5723043159, 240568.0062778626, 37, 'N')"
86,2.1776967871616826,41.42427869934448,METRO,L4,MARAGALL,"(769648.7773463032, 240918.95806741854, 37, 'N')"
87,2.1791278067023616,41.383993700532066,METRO,L4,JAUME I,"(765165.0693618573, 241070.11569989703, 37, 'N')"
88,2.1789090368322053,41.443937766529295,METRO,L4,VIA JÚLIA,"(771836.534154182, 241056.60672085726, 37, 'N')"
89,2.1856627498030243,41.38268381550357,METRO,L4,BARCELONETA,"(765018.1445275869, 241792.83048637604, 37, 'N')"
90,2.191501407647297,41.395310497250755,METRO,L4,BOGATELL,"(766422.3569135386, 242440.98950104846, 37, 'N')"
91,2.192715565080112,41.38815609170245,METRO,L4,CIUTADELLA VILA OLIMPICA,"(765625.9185499761, 242574.0377205176, 37, 'N')"
92,2.19724996571018,41.39926649345085,METRO,L4,LLACUNA,"(766861.6069215677, 243077.65169476083, 37, 'N')"
93,2.203214796536219,41.40344975781985,METRO,L4,POBLENOU,"(767326.1065746302, 243738.2857194256, 37, 'N')"
94,2.2064741602425126,41.42397067884454,METRO,L4,LA PAU,"(769609.3411986716, 244102.5735106463, 37, 'N')"
95,2.2099614685905697,41.40816428586267,METRO,L4,SELVA DE MAR,"(767849.5859158237, 244485.51591034918, 37, 'N')"
96,2.2103191688956847,41.42030091503714,METRO,L4,BESÒS,"(769200.2300093403, 244527.2845786522, 37, 'N')"
97,2.215690271272993,41.415016393120155,METRO,L4,BESÒS MAR,"(768611.1364242292, 245120.53369458625, 37, 'N')"
